nama,ips-now,ips-next
Taruna-137,3.52,3.85
Taruna-138,3.32,3.61
Taruna-139,3.98,3.8
Taruna-140,3.55,3.84
Taruna-141,3.63,3.74
Taruna-142,3.55,3.88
Taruna-143,3.52,3.62
Taruna-144,3.63,3.94
Taruna-145,3.46,3.52
Taruna-146,3.5,3.99
Taruna-147,3.82,3.6
Taruna-148,3.39,3.73
Taruna-149,3.87,3.68
Taruna-150,3.78,3.75
Taruna-151,3.45,3.94
Taruna-152,3.27,3.79
Taruna-153,4.0,3.71
Taruna-154,3.35,3.69
Taruna-155,3.86,3.86
Taruna-156,3.45,3.86
Taruna-157,3.22,3.94
Taruna-158,3.59,3.89
Taruna-159,3.65,3.87
Taruna-160,3.2,3.66
Taruna-161,3.31,3.62
Taruna-162,3.47,3.86
Taruna-163,3.29,3.74
Taruna-164,3.54,3.78
Taruna-165,3.66,3.73
Taruna-166,3.24,3.7
Taruna-167,3.2,3.83
Taruna-168,3.6,3.77
Taruna-169,3.69,3.52
Taruna-170,3.53,3.77
Taruna-171,3.25,3.72
Taruna-172,3.87,3.55
Taruna-173,3.57,3.93
Taruna-174,3.7,3.57
Taruna-175,3.85,3.82
Taruna-176,3.25,3.95
Taruna-177,3.2,3.76
Taruna-178,3.53,3.92
Taruna-179,3.36,3.93
Taruna-180,3.5,3.94
Taruna-181,3.32,3.63
Taruna-182,3.83,3.91
Taruna-183,3.33,3.64
Taruna-184,3.81,3.89
Taruna-185,3.87,3.59
Taruna-186,3.7,3.74
Taruna-187,3.24,3.95
Taruna-188,3.24,3.5
Taruna-189,3.34,3.92
Taruna-190,3.57,3.66
Taruna-191,3.63,3.9
Taruna-192,3.64,3.95
Taruna-193,3.82,3.84
Taruna-194,3.34,3.64
Taruna-195,3.37,3.82
Taruna-196,3.58,3.6
Taruna-197,3.26,3.7
Taruna-198,3.69,3.86
Taruna-199,3.53,3.88
Taruna-200,3.92,3.66
Taruna-201,3.22,3.88
Taruna-202,3.52,3.72
Taruna-203,3.32,3.57
Taruna-204,3.75,3.68
Taruna-205,3.64,3.5
Taruna-206,3.48,3.98
Taruna-207,3.6,3.64
Taruna-208,3.54,3.66
Taruna-209,3.4,3.59
Taruna-210,3.98,3.92
Taruna-211,3.92,3.82
Taruna-212,3.51,3.96
Taruna-213,3.95,3.8
Taruna-214,3.22,3.77
Taruna-215,3.34,3.95
Taruna-216,3.54,3.64
Taruna-217,3.62,3.56
Taruna-218,3.93,3.91
Taruna-219,3.39,3.89
Taruna-220,3.38,3.83
Taruna-221,3.97,3.83
Taruna-222,3.47,3.87
Taruna-223,3.32,3.82
Taruna-224,3.82,3.63
Taruna-225,3.72,3.52
Taruna-226,3.89,3.7
Taruna-227,3.99,3.65
Taruna-228,3.81,3.67
Taruna-229,3.49,3.9
Taruna-230,3.57,3.66
Taruna-231,3.89,3.77
Taruna-232,3.89,3.74
Taruna-233,3.37,3.93
Taruna-234,3.74,3.68
Taruna-235,3.6,3.99
Taruna-236,3.57,3.9
Taruna-237,3.44,3.99
Taruna-238,3.31,3.63
Taruna-239,3.21,3.67
Taruna-240,3.53,3.99
Taruna-241,3.51,3.86
Taruna-242,3.74,3.92
Taruna-243,3.24,3.76
Taruna-244,3.41,3.64
Taruna-245,3.25,3.57
Taruna-246,3.92,3.85
Taruna-247,3.62,3.73
Taruna-248,3.7,3.51
Taruna-249,3.71,3.82
Taruna-250,3.23,3.59
Taruna-251,3.24,3.8
Taruna-252,3.64,3.6
Taruna-253,3.4,3.71
Taruna-254,3.88,3.58
Taruna-255,3.61,3.61
Taruna-256,3.97,3.99
Taruna-257,3.33,3.87
Taruna-258,3.63,3.81
Taruna-259,3.65,3.62
Taruna-260,3.57,3.74
Taruna-261,3.76,3.68
Taruna-262,3.87,3.95
Taruna-263,3.34,3.92
Taruna-264,3.88,3.9
Taruna-265,3.43,3.85
Taruna-266,3.22,3.88
Taruna-267,3.37,3.66
Taruna-268,3.82,3.88
Taruna-269,3.31,3.65
Taruna-270,3.26,3.56
Taruna-271,3.33,3.93
Taruna-272,3.31,3.7
Taruna-273,3.98,3.9
Taruna-274,3.69,3.68
Taruna-275,3.76,3.74
Taruna-276,3.56,3.94
Taruna-277,3.75,3.71
Taruna-278,3.46,3.93
Taruna-279,3.5,3.84
Taruna-280,3.8,3.77
Taruna-281,3.54,3.72
Taruna-282,3.82,3.86
Taruna-283,3.63,3.51
Taruna-284,3.28,3.75
Taruna-285,3.38,3.78
Taruna-286,3.28,3.86
Taruna-287,3.71,3.85
Taruna-288,3.94,3.51
Taruna-289,3.24,3.85
Taruna-290,3.24,3.51
Taruna-291,3.49,3.83
Taruna-292,3.9,3.59
Taruna-293,3.29,3.67
Taruna-294,3.73,3.75
Taruna-295,3.81,3.83
Taruna-296,3.87,3.66
Taruna-297,3.71,3.71
Taruna-298,3.23,3.87
Taruna-299,3.52,3.54
Taruna-300,3.69,3.62
Taruna-301,3.31,3.57
Taruna-302,3.5,3.64
Taruna-303,3.45,3.72
Taruna-304,3.21,3.64
Taruna-305,3.87,3.5
Taruna-306,3.8,3.86
Taruna-307,3.8,3.82
Taruna-308,3.64,3.61
Taruna-309,3.52,3.95
Taruna-310,3.94,3.77
Taruna-311,3.69,3.71
Taruna-312,3.32,3.8
Taruna-313,3.3,3.57
Taruna-314,3.55,3.67
Taruna-315,3.53,3.82
Taruna-316,3.51,3.88
Taruna-317,3.77,3.8
Taruna-318,3.67,3.89
Taruna-319,3.41,3.67
Taruna-320,3.73,3.84
Taruna-321,3.68,3.97
Taruna-322,3.53,3.85
Taruna-323,3.71,3.6
Taruna-324,3.82,3.82
Taruna-325,3.65,3.74
Taruna-326,3.9,3.79
Taruna-327,3.62,3.99
Taruna-328,3.68,3.53
Taruna-329,3.37,3.71
Taruna-330,3.81,3.67
Taruna-331,3.32,3.79
Taruna-332,3.84,3.62
Taruna-333,3.69,3.94
Taruna-334,3.42,3.87
Taruna-335,3.76,3.96
Taruna-336,3.73,3.76
Taruna-337,3.88,3.9
Taruna-338,3.9,3.78
Taruna-339,3.78,3.62
Taruna-340,3.71,3.61
Taruna-341,3.27,3.86
Taruna-342,3.29,3.99
Taruna-343,3.89,3.85
Taruna-344,3.24,3.94
Taruna-345,3.93,3.63
Taruna-346,3.43,3.88
Taruna-347,3.21,3.93
Taruna-348,3.89,3.52
Taruna-349,3.6,3.51
Taruna-350,3.95,3.56
Taruna-351,3.52,3.56
Taruna-352,3.86,4.0
Taruna-353,3.66,3.85
Taruna-354,3.7,3.87
Taruna-355,3.73,3.65
Taruna-356,3.48,3.63
Taruna-357,3.26,3.98
Taruna-358,3.98,3.76
Taruna-359,3.35,3.8
Taruna-360,3.38,3.9
Taruna-361,3.69,3.8
Taruna-362,3.54,3.68
Taruna-363,3.59,3.86
Taruna-364,3.67,3.72
Taruna-365,3.39,3.89
Taruna-366,3.99,3.87
Taruna-367,3.65,3.5
Taruna-368,3.27,3.89
Taruna-369,3.31,3.62
Taruna-370,3.81,3.78
Taruna-371,3.52,3.87
Taruna-372,3.65,3.68
Taruna-373,3.45,3.69
Taruna-374,3.81,3.5
Taruna-375,3.77,3.62
Taruna-376,3.63,3.9
Taruna-377,3.59,3.66
Taruna-378,3.42,3.51
Taruna-379,3.93,3.51
Taruna-380,3.46,3.75
Taruna-381,3.96,3.79
Taruna-382,3.57,3.58
Taruna-383,3.96,3.78
Taruna-384,3.24,3.56
Taruna-385,3.99,3.89
Taruna-386,3.69,3.81
Taruna-387,3.4,3.94
Taruna-388,3.64,3.94
Taruna-389,3.72,3.5
Taruna-390,3.51,3.82
Taruna-391,3.46,3.58
Taruna-392,3.54,3.81
Taruna-393,3.24,3.54
Taruna-394,3.21,3.55
Taruna-395,3.53,3.72
Taruna-396,3.97,3.71
Taruna-397,3.39,3.98
Taruna-398,3.81,3.61
Taruna-399,3.86,3.78
Taruna-400,3.44,3.77
Taruna-401,3.99,3.71
Taruna-402,3.66,3.74
Taruna-403,3.89,3.54
Taruna-404,3.67,3.9
Taruna-405,3.57,3.89
Taruna-406,3.24,3.97
Taruna-407,3.45,3.59
Taruna-408,3.8,3.79
Taruna-409,3.54,3.94
Taruna-410,3.36,3.63
Taruna-411,3.88,3.74
Taruna-412,3.6,3.69
Taruna-413,3.4,3.62
Taruna-414,3.61,3.84
Taruna-415,3.9,3.62
Taruna-416,3.66,3.59
Taruna-417,3.92,3.87
Taruna-418,3.25,3.74
Taruna-419,3.47,3.76
Taruna-420,3.47,3.75
Taruna-421,3.82,3.56
Taruna-422,3.82,3.72
Taruna-423,3.61,3.79
Taruna-424,3.93,3.6
Taruna-425,4.0,3.91
Taruna-426,3.3,3.71
Taruna-427,3.62,3.9
Taruna-428,3.58,3.95
Taruna-429,3.31,3.85
Taruna-430,3.37,3.82
Taruna-431,3.38,3.94
Taruna-432,3.28,3.81
Taruna-433,3.84,3.84
Taruna-434,3.56,3.98
Taruna-435,3.3,3.94
Taruna-436,3.71,3.94
Taruna-437,3.45,3.97
Taruna-438,3.49,3.6
Taruna-439,3.71,3.77
Taruna-440,3.86,3.73
Taruna-441,3.62,3.76
Taruna-442,3.34,3.57
Taruna-443,3.75,3.86
Taruna-444,3.63,3.73
Taruna-445,3.59,3.95
Taruna-446,3.76,3.64
Taruna-447,3.41,3.61
Taruna-448,3.65,3.74
Taruna-449,3.57,3.56
Taruna-450,3.43,3.82
Taruna-451,3.54,3.86
Taruna-452,3.77,3.67
Taruna-453,3.36,3.9
Taruna-454,3.61,3.52
Taruna-455,3.59,3.8
Taruna-456,3.78,3.57
Taruna-457,3.97,3.95
Taruna-458,3.51,3.98
Taruna-459,3.74,3.96
Taruna-460,3.73,3.64
Taruna-461,3.87,3.82
Taruna-462,3.5,3.69
Taruna-463,3.51,3.63
Taruna-464,3.39,3.85
Taruna-465,3.89,3.87
Taruna-466,3.65,3.56
Taruna-467,3.43,3.8
Taruna-468,3.95,3.81
Taruna-469,3.24,3.75
Taruna-470,3.43,3.52
Taruna-471,3.8,3.64
Taruna-472,3.37,3.87
Taruna-473,3.44,3.77
Taruna-474,3.6,3.93
Taruna-475,3.43,3.72
Taruna-476,3.78,3.65
Taruna-477,3.42,3.69
Taruna-478,3.76,3.58
Taruna-479,3.98,3.61
Taruna-480,3.6,3.67
Taruna-481,3.81,3.8
Taruna-482,3.44,3.77
Taruna-483,3.27,3.97
Taruna-484,3.95,3.72
Taruna-485,3.46,3.88
Taruna-486,3.3,3.68
Taruna-487,3.66,3.65
Taruna-488,3.93,3.63
Taruna-489,3.51,3.77
Taruna-490,3.33,3.8
Taruna-491,3.8,3.87
Taruna-492,3.66,3.6
Taruna-493,3.44,3.55
Taruna-494,3.84,3.81
Taruna-495,3.47,3.65
Taruna-496,3.37,3.89
Taruna-497,3.75,3.92
Taruna-498,3.42,3.71
Taruna-499,3.71,3.61
Taruna-500,3.64,3.58
Taruna-501,3.9,3.95
Taruna-502,3.62,3.55
Taruna-503,3.39,3.86
Taruna-504,3.37,3.53
Taruna-505,3.61,3.9
Taruna-506,3.67,3.57
Taruna-507,3.36,3.92
Taruna-508,3.96,3.89
Taruna-509,3.58,3.67
Taruna-510,3.29,3.66
Taruna-511,3.67,3.91
Taruna-512,3.44,3.57
Taruna-513,3.28,3.66
Taruna-514,3.42,3.61
Taruna-515,3.9,3.8
Taruna-516,3.57,3.83
Taruna-517,3.72,3.85
Taruna-518,3.59,3.95
Taruna-519,3.95,3.98
Taruna-520,3.8,3.63
Taruna-521,3.73,3.61
Taruna-522,3.6,3.64
Taruna-523,3.53,3.76
Taruna-524,3.51,3.54
Taruna-525,4.0,3.92
Taruna-526,3.55,3.82
Taruna-527,3.32,3.54
Taruna-528,3.35,3.82
Taruna-529,3.58,3.73
Taruna-530,3.45,3.63
Taruna-531,3.87,3.76
Taruna-532,3.58,3.8
Taruna-533,3.5,3.94
Taruna-534,3.93,3.8
Taruna-535,3.22,3.63
Taruna-536,3.27,3.95
Taruna-537,3.54,3.67
Taruna-538,3.27,3.93
Taruna-539,3.26,3.94
Taruna-540,3.91,3.64
Taruna-541,3.83,3.73
Taruna-542,3.22,4.0
Taruna-543,3.73,3.69
Taruna-544,3.54,3.71
Taruna-545,3.98,3.97
Taruna-546,3.4,3.82
Taruna-547,3.39,3.62
Taruna-548,3.61,3.92
Taruna-549,3.48,3.89
Taruna-550,3.92,3.64
Taruna-551,3.8,3.88
Taruna-552,3.69,3.73
Taruna-553,3.22,3.73
Taruna-554,3.43,3.9
Taruna-555,3.86,3.5
Taruna-556,3.34,3.95
Taruna-557,3.45,3.53
Taruna-558,3.91,3.68
Taruna-559,3.48,3.94
Taruna-560,3.77,3.66
Taruna-561,3.68,3.74
Taruna-562,3.75,3.82
Taruna-563,3.79,3.8
Taruna-564,3.41,3.6
Taruna-565,3.95,3.89
Taruna-566,3.6,3.6
Taruna-567,3.97,3.7
Taruna-568,3.99,3.88
Taruna-569,3.74,3.62
Taruna-570,3.24,3.53
Taruna-571,3.5,3.65
Taruna-572,3.56,3.85
Taruna-573,3.53,3.58
Taruna-574,3.76,3.73
Taruna-575,3.99,3.98
Taruna-576,3.42,3.88
Taruna-577,3.66,3.57
Taruna-578,3.22,3.56
Taruna-579,3.54,3.73
Taruna-580,3.78,3.67
Taruna-581,3.24,3.85
Taruna-582,3.57,3.9
Taruna-583,3.93,3.57
Taruna-584,3.86,3.62
Taruna-585,3.32,3.74
Taruna-586,3.58,3.9
Taruna-587,3.46,3.75
Taruna-588,3.39,3.69
Taruna-589,3.33,3.7
Taruna-590,3.75,3.96
Taruna-591,3.29,3.93
Taruna-592,3.61,3.62
Taruna-593,3.21,3.97
Taruna-594,3.71,3.61
Taruna-595,3.21,3.81
Taruna-596,3.99,3.96
Taruna-597,3.81,3.86
Taruna-598,3.96,3.86
Taruna-599,3.83,3.8
Taruna-600,3.34,3.99
Taruna-601,3.91,3.93
Taruna-602,3.69,3.94
Taruna-603,3.84,3.95
Taruna-604,3.71,3.56
Taruna-605,3.95,3.61
Taruna-606,3.28,3.84
Taruna-607,3.37,3.54
Taruna-608,3.59,3.9
Taruna-609,3.25,3.97
Taruna-610,3.71,3.78
Taruna-611,3.75,3.79
Taruna-612,3.34,3.98
Taruna-613,3.92,3.85
Taruna-614,3.31,3.59
Taruna-615,3.29,3.7
Taruna-616,3.67,3.56
Taruna-617,3.77,3.51
Taruna-618,3.97,3.72
Taruna-619,3.59,3.58
Taruna-620,3.92,3.72
Taruna-621,3.93,3.57
Taruna-622,3.69,3.57
Taruna-623,3.46,3.77
Taruna-624,3.5,3.64
Taruna-625,3.42,3.75
Taruna-626,3.68,3.72
Taruna-627,3.57,3.83
Taruna-628,3.96,3.53
Taruna-629,3.29,3.66
Taruna-630,3.76,3.64
Taruna-631,3.52,3.67
Taruna-632,3.51,3.63
Taruna-633,3.47,3.78
Taruna-634,3.84,3.55
Taruna-635,3.82,3.66
Taruna-636,3.21,3.74
Taruna-637,3.48,3.91
Taruna-638,4.0,3.85
Taruna-639,3.79,3.67
Taruna-640,3.98,3.71
Taruna-641,3.34,3.78
Taruna-642,3.2,3.51
Taruna-643,3.31,3.84
Taruna-644,3.86,3.76
Taruna-645,3.91,3.77
Taruna-646,3.55,3.53
Taruna-647,3.58,3.6
Taruna-648,3.79,3.62
Taruna-649,3.5,3.63
Taruna-650,3.42,3.51
Taruna-651,3.83,3.56
Taruna-652,3.73,3.73
Taruna-653,3.21,3.68
Taruna-654,3.77,3.69
Taruna-655,3.83,3.97
Taruna-656,3.27,3.98
Taruna-657,3.41,3.6
Taruna-658,3.81,3.57
Taruna-659,3.22,3.76
Taruna-660,3.35,3.65
Taruna-661,3.25,3.96
Taruna-662,3.84,3.92
Taruna-663,3.94,3.52
Taruna-664,3.93,3.84
Taruna-665,3.56,3.6
Taruna-666,3.25,3.98
Taruna-667,3.86,3.81
Taruna-668,3.47,3.68
Taruna-669,3.64,3.52
Taruna-670,3.92,3.66
Taruna-671,3.7,3.93
Taruna-672,3.57,3.55
Taruna-673,3.65,3.67
Taruna-674,3.45,3.91
Taruna-675,3.43,3.6
Taruna-676,3.31,3.54
Taruna-677,3.95,3.54
Taruna-678,3.79,3.93
Taruna-679,3.52,3.59
Taruna-680,3.39,3.79
Taruna-681,3.52,3.89
Taruna-682,3.37,3.81
Taruna-683,3.71,3.96
Taruna-684,3.61,3.95
Taruna-685,3.45,3.98
Taruna-686,3.84,3.88
Taruna-687,3.32,3.57
Taruna-688,3.83,3.84
Taruna-689,3.42,3.75
Taruna-690,3.76,3.78
Taruna-691,3.68,3.85
Taruna-692,3.35,3.93
Taruna-693,3.77,3.69
Taruna-694,3.57,3.93
Taruna-695,3.74,3.98
Taruna-696,3.42,3.84
Taruna-697,3.94,3.94
Taruna-698,3.63,3.54
Taruna-699,3.72,3.94
Taruna-700,3.43,3.62
Taruna-701,3.51,3.54
Taruna-702,3.63,3.64
Taruna-703,3.9,3.56
Taruna-704,3.34,3.82
Taruna-705,3.36,3.94
Taruna-706,3.62,3.99
Taruna-707,3.23,3.51
Taruna-708,3.42,3.7
Taruna-709,3.35,3.55
Taruna-710,3.62,3.72
Taruna-711,3.68,3.6
Taruna-712,3.82,3.57
Taruna-713,3.37,3.68
Taruna-714,3.2,3.72
Taruna-715,3.55,3.61
Taruna-716,3.72,3.51
Taruna-717,3.52,3.71
Taruna-718,3.26,3.65
Taruna-719,3.71,3.81
Taruna-720,3.83,3.52
Taruna-721,3.75,3.66
Taruna-722,3.63,3.67
Taruna-723,3.57,3.67
Taruna-724,3.76,3.88
Taruna-725,3.87,3.51
Taruna-726,3.33,3.99
Taruna-727,3.39,3.71
Taruna-728,3.47,3.89
Taruna-729,3.6,4.0
Taruna-730,3.52,3.67
Taruna-731,3.5,3.8
Taruna-732,3.43,3.51
Taruna-733,3.64,3.51
Taruna-734,3.6,3.59
Taruna-735,3.22,3.54
Taruna-736,3.89,3.51
Taruna-737,3.68,3.51
Taruna-738,3.57,3.66
Taruna-739,3.4,3.64
Taruna-740,3.36,3.62
Taruna-741,3.26,3.51
Taruna-742,3.46,3.99
Taruna-743,3.65,3.59
Taruna-744,3.57,3.89
Taruna-745,3.98,3.5
Taruna-746,3.24,3.79
Taruna-747,3.86,3.62
Taruna-748,3.9,3.63
Taruna-749,3.41,3.82
Taruna-750,3.67,3.83
Taruna-751,3.69,3.99
Taruna-752,3.43,3.98
Taruna-753,3.48,3.91
Taruna-754,3.61,3.68
Taruna-755,3.34,3.73
Taruna-756,3.33,3.56
Taruna-757,3.71,3.67
Taruna-758,3.86,3.53
Taruna-759,3.45,3.95
Taruna-760,3.38,3.51
Taruna-761,3.39,3.57
Taruna-762,3.76,3.72
Taruna-763,3.56,3.86
Taruna-764,3.4,3.79
Taruna-765,3.94,3.65
Taruna-766,3.38,3.82
Taruna-767,3.78,3.88
Taruna-768,3.83,3.95
Taruna-769,3.8,3.84
Taruna-770,3.83,3.57
Taruna-771,3.29,3.65
Taruna-772,3.6,3.54
Taruna-773,3.23,3.96
Taruna-774,3.35,3.58
Taruna-775,3.73,3.6
Taruna-776,3.88,3.81
Taruna-777,3.82,3.71
Taruna-778,3.35,3.55
Taruna-779,3.76,3.71
Taruna-780,3.83,3.68
Taruna-781,3.27,3.5
Taruna-782,3.89,3.6
Taruna-783,3.22,3.76
Taruna-784,3.42,3.83
Taruna-785,3.83,3.89
Taruna-786,3.5,3.57
Taruna-787,3.68,3.82
Taruna-788,3.89,3.79
Taruna-789,3.47,3.59
Taruna-790,3.82,3.53
Taruna-791,3.87,3.79
Taruna-792,3.89,3.53
Taruna-793,3.52,3.79
Taruna-794,4.0,3.84
Taruna-795,3.61,3.85
Taruna-796,3.43,3.83
Taruna-797,3.4,3.51
Taruna-798,3.27,3.62
Taruna-799,3.76,3.99
Taruna-800,3.42,3.86
Taruna-801,3.8,3.62
Taruna-802,4.0,3.79
Taruna-803,3.79,3.87
Taruna-804,3.92,3.83
Taruna-805,3.94,3.94
Taruna-806,3.91,3.62
Taruna-807,3.58,3.79
Taruna-808,3.82,3.71
Taruna-809,3.47,3.71
Taruna-810,3.68,3.97
Taruna-811,3.42,3.88
Taruna-812,3.74,3.51
Taruna-813,3.35,3.99
Taruna-814,3.35,3.63
Taruna-815,3.27,3.67
Taruna-816,3.31,3.82
Taruna-817,3.51,3.76
Taruna-818,3.65,3.66
Taruna-819,3.22,3.88
Taruna-820,3.39,3.99
Taruna-821,3.4,3.67
Taruna-822,3.44,3.54
Taruna-823,3.55,3.73
Taruna-824,3.81,3.53
Taruna-825,3.48,3.93
Taruna-826,3.54,3.64
Taruna-827,3.58,3.7
Taruna-828,3.42,3.72
Taruna-829,3.52,3.91
Taruna-830,3.54,3.58
Taruna-831,3.86,3.85
Taruna-832,3.64,3.64
Taruna-833,3.33,3.86
Taruna-834,3.66,3.55
Taruna-835,3.61,3.83
Taruna-836,3.81,3.65
Taruna-837,3.53,3.52
Taruna-838,3.36,3.96
Taruna-839,3.54,3.64
Taruna-840,3.27,3.77
Taruna-841,3.4,3.89
Taruna-842,3.38,3.99
Taruna-843,3.65,3.59
Taruna-844,3.72,3.95
Taruna-845,3.86,3.91
Taruna-846,3.42,3.93
Taruna-847,3.3,3.54
Taruna-848,3.41,3.9
Taruna-849,3.49,3.76
Taruna-850,3.95,3.63
Taruna-851,3.34,3.77
Taruna-852,3.75,3.82
Taruna-853,3.21,3.71
Taruna-854,3.47,3.73
Taruna-855,3.37,3.94
Taruna-856,3.42,3.61
Taruna-857,3.36,3.61
Taruna-858,3.26,3.58
Taruna-859,3.71,3.62
Taruna-860,3.26,3.52
Taruna-861,3.24,3.94
Taruna-862,3.31,3.81
Taruna-863,3.44,3.76
Taruna-864,3.63,3.99
Taruna-865,3.41,3.57
Taruna-866,3.69,3.86
Taruna-867,3.64,3.61
Taruna-868,3.21,3.94
Taruna-869,3.94,3.63
Taruna-870,3.49,3.62
Taruna-871,3.71,3.71
Taruna-872,3.26,3.63
Taruna-873,3.23,3.84
Taruna-874,3.2,3.56
Taruna-875,3.59,3.57
Taruna-876,3.84,3.58
Taruna-877,3.31,3.62
Taruna-878,3.53,3.87
Taruna-879,3.83,3.94
Taruna-880,3.63,3.61
Taruna-881,3.47,3.73
Taruna-882,3.5,3.65
Taruna-883,3.6,3.93
Taruna-884,3.33,3.89
Taruna-885,3.36,3.84
Taruna-886,3.31,3.64
Taruna-887,3.91,3.75
Taruna-888,3.96,3.87
Taruna-889,3.42,3.97
Taruna-890,3.32,3.75
Taruna-891,3.72,3.78
Taruna-892,3.93,3.64
Taruna-893,3.36,3.55
Taruna-894,3.73,3.75
Taruna-895,3.31,3.79
Taruna-896,3.41,3.75
Taruna-897,3.74,3.88
Taruna-898,3.38,3.62
Taruna-899,3.58,3.75
Taruna-900,3.96,3.93
Taruna-901,3.88,3.53
Taruna-902,3.33,3.56
Taruna-903,3.8,3.75
Taruna-904,3.58,3.93
Taruna-905,3.48,3.89
Taruna-906,3.4,3.64
Taruna-907,3.75,3.9
Taruna-908,3.39,3.66
Taruna-909,3.73,3.66
Taruna-910,3.46,3.85
Taruna-911,3.35,3.74
Taruna-912,3.49,3.52
Taruna-913,3.5,3.74
Taruna-914,3.31,3.57
Taruna-915,3.95,3.72
Taruna-916,3.29,3.68
Taruna-917,3.73,3.7
Taruna-918,3.46,3.86
Taruna-919,3.56,3.58
Taruna-920,3.49,3.77
Taruna-921,3.21,3.6
Taruna-922,3.28,3.78
Taruna-923,3.31,3.81
Taruna-924,3.9,3.74
Taruna-925,3.37,3.62
Taruna-926,3.48,3.75
Taruna-927,3.21,3.53
Taruna-928,3.38,3.66
Taruna-929,3.96,3.78
Taruna-930,4.0,3.65
Taruna-931,3.51,3.85
